number of steps,time,
10, 3.00000E-06
Numeric Solution,Exact Solution,Relative Error,
0.472736819372,0.506204714828,0.0661153372855
0.612506430868,0.655869461533,0.0661153372855
0.618126776925,0.661887705842,0.0661153372855
0.569699682296,0.610032164615,0.0661153372855
0.499497396911,0.534859835324,0.0661153372855
0.420522097922,0.450293397794,0.0661153372855
0.338012236660,0.361942164975,0.0661153372855
0.254078334468,0.272066074765,0.0661153372855
0.169570699968,0.181575634270,0.0661153372855
0.0848319142733,0.0908376779920,0.0661153372855
