number of steps,time,
1000, 0.000133000000000
Numeric Solution,Exact Solution,Relative Error,
0.00894124558744,0.00894131994927,8.31665015092E-06
0.0177836829178,0.0177838308197,8.31665014892E-06
0.0265282941723,0.0265285148007,8.31665015039E-06
0.0351760517691,0.0351763443185,8.31665014782E-06
0.0437279184604,0.0437282821332,8.31665014949E-06
0.0521848474281,0.0521852814348,8.31665014790E-06
0.0605477823793,0.0605482859382,8.31665014810E-06
0.0688176576405,0.0688182299776,8.31665014757E-06
0.0769953982506,0.0769960385998,8.31665014800E-06
0.0850819200536,0.0850826276560,8.31665014700E-06
0.0930781297894,0.0930789038940,8.31665014812E-06
0.100984925185,0.100985765048,8.31665014766E-06
0.108803195043,0.108804099929,8.31665014871E-06
0.116533819333,0.116534788512,8.31665014838E-06
0.124177669274,0.124178702025,8.31665014873E-06
0.131735607429,0.131736703037,8.31665014808E-06
0.139208487784,0.139209645542,8.31665014881E-06
0.146597155837,0.146598375044,8.31665014841E-06
0.153902448681,0.153903728645,8.31665014868E-06
0.161125195089,0.161126535122,8.31665014842E-06
0.168266215596,0.168267615019,8.31665014866E-06
0.175326322579,0.175327780719,8.31665014839E-06
0.182306320341,0.182307836531,8.31665014791E-06
0.189207005190,0.189208578771,8.31665014816E-06
0.196029165517,0.196030795837,8.31665014737E-06
0.202773581879,0.202775268290,8.31665014760E-06
0.209441027072,0.209442768935,8.31665014706E-06
0.216032266211,0.216034062890,8.31665014736E-06
0.222548056804,0.222549907673,8.31665014666E-06
0.228989148831,0.228991053269,8.31665014640E-06
0.235356284816,0.235358242208,8.31665014620E-06
0.241650199903,0.241652209640,8.31665014587E-06
0.247871621928,0.247873683406,8.31665014524E-06
0.254021271491,0.254023384115,8.31665014520E-06
0.260099862031,0.260102025208,8.31665014471E-06
0.266108099894,0.266110313040,8.31665014487E-06
0.272046684405,0.272048946941,8.31665014435E-06
0.277916307937,0.277918619289,8.31665014440E-06
0.283717655982,0.283720015583,8.31665014387E-06
0.289451407217,0.289453814503,8.31665014397E-06
0.295118233573,0.295120687988,8.31665014313E-06
0.300718800301,0.300721301295,8.31665014314E-06
0.306253766040,0.306256313067,8.31665014276E-06
0.311723782883,0.311726375402,8.31665014237E-06
0.317129496439,0.317132133916,8.31665014237E-06
0.322471545901,0.322474227806,8.31665014184E-06
0.327750564107,0.327753289916,8.31665014160E-06
0.332967177605,0.332969946800,8.31665014182E-06
0.338122006716,0.338124818782,8.31665014186E-06
0.343215665593,0.343218520021,8.31665014158E-06
0.348248762285,0.348251658572,8.31665014142E-06
0.353221898797,0.353224836444,8.31665014093E-06
0.358135671149,0.358138649663,8.31665014056E-06
0.362990669439,0.362993688330,8.31665014020E-06
0.367787477895,0.367790536680,8.31665014050E-06
0.372526674942,0.372529773142,8.31665014027E-06
0.377208833252,0.377211970392,8.31665014037E-06
0.381834519806,0.381837695417,8.31665013999E-06
0.386404295950,0.386407509566,8.31665014030E-06
0.390918717447,0.390921968608,8.31665013997E-06
0.395378334539,0.395381622789,8.31665014066E-06
0.399783691995,0.399787016884,8.31665014068E-06
0.404135329173,0.404138690253,8.31665014105E-06
0.408433780066,0.408437176896,8.31665014130E-06
0.412679573361,0.412683005501,8.31665014155E-06
0.416873232489,0.416876699506,8.31665014156E-06
0.421015275677,0.421018777143,8.31665014169E-06
0.425106216003,0.425109751492,8.31665014188E-06
0.429146561442,0.429150130534,8.31665014220E-06
0.433136814923,0.433140417200,8.31665014215E-06
0.437077474372,0.437081109423,8.31665014213E-06
0.440969032768,0.440972700184,8.31665014248E-06
0.444811978190,0.444815677567,8.31665014229E-06
0.448606793864,0.448610524801,8.31665014227E-06
0.452353958212,0.452357720313,8.31665014210E-06
0.456053944902,0.456057737774,8.31665014213E-06
0.459707222892,0.459711046148,8.31665014237E-06
