number of steps,time,
100, 1.70000000000E-05
Numeric Solution,Exact Solution,Relative Error,
0.0842968333702,0.0843657190869,0.000816513121741
0.159714794666,0.159845310459,0.000816513121742
0.227090861948,0.227276436140,0.000816513121742
0.287183114485,0.287417794886,0.000816513121742
0.340678170251,0.340956565761,0.000816513121742
0.388197922308,0.388515150026,0.000816513121742
0.430305640188,0.430657277506,0.000816513121743
0.467511496110,0.467893537323,0.000816513121743
0.500277570266,0.500686387272,0.000816513121743
0.529022384278,0.529454690981,0.000816513121744
0.554125007298,0.554577827371,0.000816513121744
0.575928775048,0.576399412732,0.000816513121744
0.594744658275,0.595230671929,0.000816513121745
0.610854313678,0.611353491826,0.000816513121745
0.624512847232,0.625023186866,0.000816513121746
0.635951317026,0.636471003952,0.000816513121746
0.645379000166,0.645906391210,0.000816513121747
0.652985445989,0.653519052871,0.000816513121747
0.658942335725,0.659480810460,0.000816513121747
0.663405166857,0.663947288530,0.000816513121748
0.666514778701,0.667059441488,0.000816513121748
0.668398734177,0.668944936496,0.000816513121748
0.669172571328,0.669719406011,0.000816513121748
0.668940936855,0.669487582251,0.000816513121748
0.667798612808,0.668344324719,0.000816513121748
0.665831446487,0.666375550868,0.000816513121748
0.663117192687,0.663659079033,0.000816513121748
0.659726276551,0.660265391907,0.000816513121748
0.655722484506,0.656258328042,0.000816513121749
0.651163590072,0.651695708170,0.000816513121749
0.646101920676,0.646629902476,0.000816513121749
0.640584871031,0.641108344407,0.000816513121748
0.634655368131,0.635173996033,0.000816513121749
0.628352292402,0.628865769554,0.000816513121748
0.621710859156,0.622218909060,0.000816513121748
0.614762964092,0.615265336312,0.000816513121748
0.607537496218,0.608033963928,0.000816513121749
0.600060621286,0.600550979040,0.000816513121748
0.592356038498,0.592840100219,0.000816513121749
0.584445213022,0.584922810172,0.000816513121749
0.576347586585,0.576818566513,0.000816513121748
0.568080768215,0.568544992662,0.000816513121748
0.559660707002,0.560118050741,0.000816513121748
0.551101848577,0.551552198184,0.000816513121748
0.542417276833,0.542860529578,0.000816513121747
0.533618842294,0.534054905132,0.000816513121748
0.524717278381,0.525146067036,0.000816513121747
0.515722306713,0.516143744854,0.000816513121747
0.506642732491,0.507056750982,0.000816513121747
0.497486530881,0.497893067103,0.000816513121747
0.488260925260,0.488659922498,0.000816513121747
0.478972458084,0.479363864970,0.000816513121746
0.469627055077,0.470010825083,0.000816513121746
0.460230083368,0.460606174353,0.000816513121746
0.450786404144,0.451154777940,0.000816513121746
0.441300420348,0.441661042385,0.000816513121746
0.431776119875,0.432128958840,0.000816513121745
0.422217114693,0.422562142227,0.000816513121746
0.412626676287,0.412963866703,0.000816513121745
0.403007767749,0.403337097781,0.000816513121745
0.393363072850,0.393684521428,0.000816513121746
0.383695022376,0.384008570413,0.000816513121746
0.374005817969,0.374311448178,0.000816513121746
0.364297453731,0.364595150456,0.000816513121746
0.354571735788,0.354861484847,0.000816513121746
0.344830300008,0.345112088557,0.000816513121746
0.335074628054,0.335348444459,0.000816513121747
0.325306061915,0.325571895640,0.000816513121747
0.315525817079,0.315783658580,0.000816513121746
0.305734994453,0.305984835086,0.000816513121746
0.295934591166,0.296176423102,0.000816513121747
0.286125510350,0.286359326498,0.000816513121747
0.276308570004,0.276534363941,0.000816513121747
0.266484511016,0.266702276925,0.000816513121747
0.256654004434,0.256863737046,0.000816513121747
0.246817658049,0.247019352592,0.000816513121747
0.236976022357,0.237169674508,0.000816513121748
0.227129595961,0.227315201806,0.000816513121748
0.217278830463,0.217456386456,0.000816513121748
0.207424134893,0.207593637823,0.000816513121748
0.197565879726,0.197727326683,0.000816513121748
0.187704400511,0.187857788860,0.000816513121748
0.177840001166,0.177985328522,0.000816513121748
0.167972956962,0.168110221164,0.000816513121749
0.158103517220,0.158232716309,0.000816513121749
0.148231907757,0.148353039961,0.000816513121749
0.138358333106,0.138471396819,0.000816513121750
0.128482978518,0.128587972284,0.000816513121750
0.118606011779,0.118702934283,0.000816513121749
0.108727584863,0.108816434910,0.000816513121750
0.0988478354137,0.0989286119235,0.000816513121749
0.0889668881020,0.0890395900957,0.000816513121749
0.0790848558459,0.0791494824369,0.000816513121750
0.0692018409189,0.0692583913042,0.000816513121749
0.0593179359537,0.0593664094060,0.000816513121749
0.0494332248511,0.0494736207116,0.000816513121750
0.0395477836024,0.0395801012745,0.000816513121751
0.0296616810359,0.0296859199791,0.000816513121750
0.0197749794915,0.0197911392163,0.000816513121749
0.00988773543258,0.00989581549578,0.000816513121754
